Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
Нижняя Тунгуска;17010700112116100061570 / 116106157;р.Нижняя Тунгуска - с.Подволошино;9404;2670;8270;329.72;БС;05.07.1920;Действует;Иркутское УГМС;58.22;108.43
Ия;16010100712116200009613 / 116200961;р.Ия - г.Тулун;8233;119;14500;448.91;БС;04.08.1920;Действует;Иркутское УГМС;54.5784;100.61799
Лена (Большая Лена);18030300312117100000011 / 117100001;р.Лена - с.Мача;3032;2313;538000;138.9;БС;12.08.1920;Действует;Якутское УГМС;59.93;117.6
Лена (Большая Лена);18030100212117100000011 / 117100001;р.Лена - с.Подымахино;3012;3417;73500;273.27;БС;15.09.1920;Действует;Иркутское УГМС;56.95;106.16
Сорока, рукав Нижнего Выга;02020001312002000004979 / 102000497;Р.НИЖНИЙ ВЫГ(РУКAВ СOРOКA) - Г.БЕЛOMOРСК;49083;1;27100;0.29;БС;21.09.1920;Действует;Северо-Западное УГМС;64.51;34.75
Волга;08010100412110000000017 / 110000001;р.Волга - г.Ржев;75003;3267;12200;154.24;БС;01.01.1921;Действует;Центральное УГМС;56.26;34.33
Ока;09010102212110000017555 / 110001755;р.Ока - с.Половское;75320;649;99000;88.71;БС;01.01.1921;Действует;Центральное УГМС;54.47328;40.20509
Кубань;06020000112108000001090 / 108100109;р.Кубань - с.им.Коста-Хетагурова;83137;815;3800;812.06;БС 77;03.09.1921;Действует;Северо-Кавказское УГМС;43.81037;41.90181
Пушма;03020100212103000011313 / 103001131;р.Пушма - д.Лодейная;70163;30;2340;81.8;БС;02.10.1921;Действует;Верхне-Волжское УГМС;60.18347;47.32814
;;ОЗ. БАЙКАЛ - Р. П. БАЙКАЛ;2200234;;571000;453.27;БС;12.01.1922;Действует;Иркутское УГМС;51.86;104.81
ОБЬ;15020100112115300000010 / 115200001;р. Обь - пгт Октябрьское;10032;909;2720000;9.66;БС;01.02.1922;Действует;Обь-Иртышское УГМС;62.45;66.05
Вычегда;03020200112103000013575 / 103001357;р. Вычегда - г.Сыктывкар;70184;416;66900;76.53;БС;19.06.1922;Действует;Северное УГМС;61.71;50.81
Белая;06020001112108100004342 / 108100434;р.Белая - пгт Каменномостский;83348;180;1850;373.09;БС;10.11.1922;Действует;Северо-Кавказское УГМС;44.28897;40.17467
Кума;07010000812108200001471 / 108200147;р.Кума - г.Буденновск;84037;305;15000;80.56;БС 77;10.11.1922;Действует;Северо-Кавказское УГМС;44.76;44.18
ТЕЗА;09010301112110000033259 / 110003325;р. Теза - г. Шуя;75586;87;2070;86.96;БС;01.01.1923;Действует;Центральное УГМС;56.85;41.36
УССУРИ;20030700212118100051424 / 118105142;р.Уссури - г.Лесозаводск;5108;479;26200;60.36;БС 77;09.04.1923;Действует;Приморское УГМС;45.47;133.385634
Аргун (Чанты-Аргун, Аргун);07020001212108200005795 / 108200579;р.Аргун - с.Дуба-Юрт;84279;45;3190;290.55;БС;13.04.1923;Действует;Северо-Кавказское УГМС;43.03;45.71
Большой Караман;11010001812112100010210 / 112101021;р.Большой Караман - р.п. Советское;77362;92;3470;28.96;БС;17.04.1923;Действует;Приволжское УГМС;51.45;46.75
Адагум;06020001912108100006041 / 108100604;р.Адагум - г.Крымск;83441;62;328;15.36;БС 77;01.06.1923;Действует;Северо-Кавказское УГМС;44.90594;37.97663
;;ОЗ. ХАНКА - С. АСТРАХАНКА;3600023;;20960;65.61;БС 77;03.06.1923;Действует;Приморское УГМС;44.43;132.04
Чир;05010300812107000009603 / 107000960;р.Чир - ст-ца Обливская;78252;54;8470;39.15;БС 77;17.06.1923;Действует;Северо-Кавказское УГМС;48.52346;42.51344
Артемовка (Майхе, Майхэ);20040000312118200010014 / 118201001;р.Артёмовка - с.Штыково;5589;13;894;-2.19;БС 77;01.07.1923;Действует;Приморское УГМС;43.38357;132.37638
Мста;01040200212102000019715 / 102001971;Р.MСTA - Д.ДЕВКИНO;72281;84;22500;21.27;БС;01.07.1923;Действует;Северо-Западное УГМС;58.59755;32.19204
Лаба;06020000712108000003180 / 108100318;р.Лаба - ст-ца Каладжинская;83307;211;3370;437.2;БС 77;01.07.1923;Действует;Северо-Кавказское УГМС;44.31;40.88
Раковка;20040000412118200010808 / 118201080;р.Раковка - Опытный;5635;8.8;755;17.03;БС 77;20.07.1923;Действует;Приморское УГМС;43.85242;131.96323
Тулема-йоки (Тулема);01040300212102000011334 / 102001133;Р.TУЛЕMA-ЙOКИ - ПГT СAЛMИ;72098;2.4;1700;4.55;БС;26.07.1923;Действует;Северо-Западное УГМС;61.37792;31.86477
Арсеньевка (Даубихэ, Дауби);20030700212118100053206 / 118105320;р.Арсеньевка - с.Анучино;5151;187;2480;176.66;БС 77;11.09.1923;Действует;Приморское УГМС;43.95838;133.06662
Шелонь;01040200412102000024311 / 102002431;Р.ШЕЛOНЬ - Д.ЗAПOЛЬЕ;72510;59;6820;24.66;БС;01.12.1923;Действует;Северо-Западное УГМС;58.05522;30.0918
Терек (Старый Терек);07020001512108200002513 / 108200251;р.Терек - с. Хангаш-Юрт;84801;165;35400;20.78;БС;01.03.1924;Действует;Северо-Кавказское УГМС;43.41;46.23
ЧУМЫШ;13010200412115200001671 / 115200167;Р.ЧУМЫШ - Г.ЗАРИНСК;10176;249;15900;160.33;БС;01.04.1924;Действует;Западно-Сибирское УГМС;53.75485;84.91766
Кия;20030700612118100064581 / 118106458;р.Кия - пос.Переяславка;5354;60;829;55.02;БС 77;19.04.1924;Действует;Дальневосточное УГМС;48.05;135.1
Подхоренок;20030700612118100061528 / 118106152;р.Подхорёнок - пос.Дормидонтовка;5328;22;2330;45.15;БС 77;20.04.1924;Действует;Дальневосточное УГМС;47.7881;134.9272
Иня (Нижняя);13010200612115200005288 / 115200528;Р.ИНЯ(НИЖНЯЯ) - С.КАЙЛЫ;10219;119;15700;119.17;БС;29.06.1924;Действует;Западно-Сибирское УГМС;55.29685;84.09645
Бельбек;21010000212106300000670 / 106300067;р. Бельбек - пгт Куйбышево;81592;35;270;145.69;БС;06.07.1924;Действует;Крымское УГМС;44.62;33.87
Молома;10010300312111100034976 / 111103497;Р.МОЛОМА - С.СПАССКОЕ;76620;67;10600;97.33;БС;19.09.1924;Действует;Верхне-Волжское УГМС;58.67892;48.33393
Вычегда;03020200112103000013575 / 103001357;р. Вычегда - с.Малая Кужба;70180;662;26500;95.49;БС;22.09.1924;Действует;Северное УГМС;61.68868;53.64998
Быстрица;10010300312111100034556 / 111103455;P.БЫCTPИЦA - Д.ШИПИЦИHO;76614;37;3540;104.69;БС;27.09.1924;Действует;Верхне-Волжское УГМС;58.47823;49.24235
Терек (Старый Терек);07020000312108200002513 / 108200251;р. Терек - с. Эльхотово;84113;472;6490;308.7;БС;04.10.1924;Действует;Северо-Кавказское УГМС;43.33;44.2
Бердь;13010200512115200004428 / 115200442;Р.БЕРДЬ - ПГТ МАСЛЯНИНО;10204;197;2480;173.68;БС;24.11.1924;Действует;Западно-Сибирское УГМС;54.34582;84.22121
Истра;09010101512199000000020 / 110002350;р. Истра - с. Павловская Слобода;75427;12;1950;131.34;БС;01.01.1925;Действует;Центральное УГМС;55.81108;37.09186
Тускарь (Тускорь, Туска);04010001212106200004430 / 106200443;р. Тускарь - г. Курск;80222;8.5;2380;153.41;БС;20.01.1925;Действует;Центрально-Черноземное УГМС;51.77154;36.20623
Сулак;07030000212109300000254 / 109300025;р.Сулак - с.Миатлы;84295;134;12950;93.2;БС 77;28.01.1925;Действует;Северо-Кавказское УГМС;43.06;46.83
Ахтычай (Кябякчай);07030000412109300002385 / 109300238;р.Ахтычай - с.Ахты;84347;1.7;952;1000.61;БС;23.02.1925;Действует;Северо-Кавказское УГМС;41.46;47.75
Индол (Мокрый Индол, Су-Индол);21020000312106300002200 / 106300220;р. Су-Индол - с. Тополёвка;81717;8.7;71;235.73;БС;01.03.1925;Действует;Крымское УГМС;45.0075;34.8843
Сулак;07030000212109300000254 / 109300025;р.Сулак - пгт Сулак;84827;3;15200;-29.47;БС;07.03.1925;Действует;Северо-Кавказское УГМС;43.26;47.51
Чегем 1-й (Чегем, Башиль-Аузу-Су);07020000712108200004796 / 108200479;р.Чегем 1-й - с.Нижний Чегем;84233;48;739;875.76;БС 77;16.03.1925;Действует;Северо-Кавказское УГМС;43.5;43.28
Терек (Старый Терек);07020001512108200002513 / 108200251;р.Терек - ст-ца Гребенская;84133;142;36100;8.62;БС;08.05.1925;Действует;Северо-Кавказское УГМС;43.5;46.38
Обь;13010200312115200000019 / 115200001;Р.ОБЬ - С.УСТЬ - ЧАРЫШСКАЯ ПРИСТАНЬ;10003;3566;138000;141.03;БС;01.06.1925;Действует;Западно-Сибирское УГМС;52.4;83.68
;;ОЗ.ТОПОЗЕРО (ВДХР КУМСКОЕ) - ПГТ КЕСТЕНЬГА;3900282;;3530;107.17;БС;03.07.1925;Действует;Северо-Западное УГМС;65.88;31.81
;;ВДХР ЮШКОЗЕРСКОЕ - ПГТ КАЛЕВАЛА;3900345;;10300;99.86;БС;07.07.1925;Действует;Северо-Западное УГМС;65.2;31.18
;;ОЗ.СЯМОЗЕРО - Д.СЯМОЗЕРО;3900972;;1580;106.1;БС;12.07.1925;Действует;Северо-Западное УГМС;61.88;33.28
АЛДАН;18030600112117300000011 / 117300001;р.Алдан - г.Томмот;3219;1604;49500;272.46;БС 77;17.07.1925;Действует;Якутское УГМС;58.96;126.26
Бурульча;21020000212106300002540 / 106300254;р. Бурульча - с. Межгорье;81745;58;85;376;БС 77;27.07.1925;Действует;Крымское УГМС;44.97;34.41
Белая (Урс-Дон, Савер-Дон, Белая);07020000312108200003649 / 108200364;р.Белая - с.Кора-Урсдон;84179;30.5;304;575.04;БС;16.08.1925;Действует;Северо-Кавказское УГМС;43.08;44.06
Камбилеевка;07020000212108200003541 / 108200354;р.Камбилеевка - с.Ольгинское;84173;59;359;548.17;БС;28.08.1925;Действует;Северо-Кавказское УГМС;43.16;44.7
р.Унеча;04010000712110000095321 / 105001469;р. Унеча - с. Лопатни;79335;24;1180;139.82;БС;12.09.1925;Действует;Центрально-Черноземное УГМС;52.83357;32.13543
Кильмезь;10010300512111100038569 / 111103856;P.KИЛЬMEЗЬ - Д.BИЧMAPЬ;76634;54;16400;70.54;БС;21.09.1925;Действует;Верхне-Волжское УГМС;56.97208;51.00616
Аксай Есауловский (Аксай, Гнилой Аксай);05010300912107000010172 / 107001017;р.Аксай Есауловский - х.Водянский;78261;36;2110;36.76;БС;27.10.1925;Действует;Северо-Кавказское УГМС;47.99386;43.41989
Шуя (Суойоки);01040100112102000014042 / 102001404;Р.ШУЯ - Д.БЕСOВЕЦ;48021;7.5;9560;33.24;БС;15.11.1925;Действует;Северо-Западное УГМС;61.89136;34.18235
Олонка;01040300212102000011716 / 102001171;Р.OЛOНКA - С.ВЕРХOВЬЕ;72109;33;1090;6.2;БС;26.11.1925;Действует;Северо-Западное УГМС;60.98787;33.01342
Сяньга (Сапса, Сяпса, Сяпся);01040100112102000014455 / 102001445;Р.СЯНЬГA - Д.ЧУРAЛAХTA;48029;35;1610;105.55;БС;25.12.1925;Действует;Северо-Западное УГМС;61.91894;33.37802
Тагил;14010501512111200005096 / 111200509;р. ТАГИЛ - д. ТРОШКОВА;12279;80;7920;76.94;БС;01.01.1926;Действует;Уральское УГМС;58.45431;61.76014
Сума;02020001412102000007068 / 102000706;Р.СУMA - С.СУMСКИЙ ПOСAД;49123;5.9;1990;3.6;БС;03.01.1926;Действует;Северо-Западное УГМС;64.24372;35.41194
ВОДЛА;01040100412102000016104 / 102001610;Р.ВOДЛA - Г.ПУДOЖ;48079;43;12000;33;БС;10.01.1926;Действует;Северо-Западное УГМС;61.7918;36.49456
ВОДЛА;01040100412102000016104 / 102001610;Р.ВOДЛA - Р.П.ПOДПOРOЖЬЕ;48080;28;12500;31.61;БС;13.01.1926;Действует;Северо-Западное УГМС;61.83;36.4
Рагнукса;01040100412102000016975 / 102001697;Р.РAГНУКСA - Д.ХAРЛOВСКAЯ;48088;3;328;34;БС;13.01.1926;Действует;Северо-Западное УГМС;61.8484;36.48029
Малка (Балык-Су);07020000512108200004118 / 108200411;р.Малка - с.Каменномостское;84192;135;1540;792.72;БС;02.02.1926;Действует;Северо-Кавказское УГМС;43.73;43.06
Шахе (Головинка);06030000312109100000554 / 109100055;р.Шахе - с.Солох-Аул;82026;22;423;133.04;БС;10.02.1926;Действует;СЦГМС ЧАМ;43.80351;39.6533
р. Маруха;06020000212108000002100 / 108100210;р.Маруха - с.Маруха;83236;19;301;1058.54;БС;26.02.1926;Действует;Северо-Кавказское УГМС;43.75486;41.62927
Малая Лаба;06020000712108000003190 / 108100319;р.Малая Лаба - с.Бурное;83318;37;1090;724.31;БС;28.02.1926;Действует;Северо-Кавказское УГМС;44.01537;40.72411
Большой Зеленчук;06020000312108100002250 / 108100225;р.Большой Зеленчук - пгт Архыз;83262;156;513;1433.02;БС;02.03.1926;Действует;Северо-Кавказское УГМС;43.55725;41.27254
